File|Event|Error_Path|Error
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'BusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'MobileRetailSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'MobileBusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'ChallengeReason']|'Okta Advised' is not one of ['DeviceUnrecognized', 'UserAccessRestricted', 'SystemOrAdminForcedReset', 'UserCausedReset', 'UserPreference', 'ActivityRestricted', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'RetailSession', 'UTCTimestamp']|'2021-12-17T21:03:02.249032Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse', 'State']|'SUCCESS' is not one of ['ChallengeRequested', 'Success', 'FailedAuthentication', 'TimedOut', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'Duration' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'BusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'MobileRetailSession' is a required property
./Data/events.2022.03.30-13.48.39.json|ChallengeResponse|['GAEvent', 'ChallengeResponse']|'MobileBusinessSession' is a required property
./Data/events.2022.03.30-13.48.39.json|MFAMethodDelete|['GAEvent', 'MFAMethodDelete', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|MFAMethodDelete|['GAEvent', 'MFAMethodDelete', 'DeviceID']|None is not of type 'string'
./Data/events.2022.03.30-13.48.39.json|MFAMethodDelete|['GAEvent', 'MFAMethodDelete', 'MFAType']|'OTP' is not one of ['Question', 'Image', 'SecurityPhrase', 'Channel', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|MFAMethodDelete|['GAEvent', 'MFAMethodDelete', 'OOBAChannelTypeData']|'WEB' is not one of ['Phone', 'SMS', 'Email', 'App', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|MFAMethodDelete|['GAEvent', 'MFAMethodDelete', 'RetailSession', 'ImmutableUserID']|None is not of type 'string'
./Data/events.2022.03.30-13.48.39.json|MFAMethodDelete|['GAEvent', 'MFAMethodDelete', 'RetailSession', 'UTCTimestamp']|'2022-02-25T19:38:21.295814Z' is not of type 'integer'
./Data/events.2022.03.30-13.48.39.json|MFAMethodDelete|['GAEvent', 'MFAMethodDelete']|'PriorMFAType' is a required property
./Data/events.2022.03.30-13.48.39.json|MFAMethodDelete|['GAEvent', 'MFAMethodDelete', 'Common', 'Channel']|'WEB' is not one of ['OLBRetail', 'OLBBusiness', 'MobileRetail', 'MobileBusiness', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|MFAMethodDelete|['GAEvent', 'MFAMethodDelete', 'DeviceID']|None is not of type 'string'
./Data/events.2022.03.30-13.48.39.json|MFAMethodDelete|['GAEvent', 'MFAMethodDelete', 'MFAType']|'OTP' is not one of ['Question', 'Image', 'SecurityPhrase', 'Channel', 'Unknown', 'Other']
./Data/events.2022.03.30-13.48.39.json|MFAMethodDelete|['GAEvent', 'MFAMethodDelete', 'OOBAChannelTypeData']|'WEB' is not one of ['Phone', 'SMS', 'Email', 'App', 'Unknown', 'Other']
